EntrezGeneSymbol,Estimate
BPGM,0.001441707440199458
BPHL,-0.000105776549082077
BPI,-0.001052564665376487
BPIFA1,-0.001157214504021169
BPIFA2,-0.0004406625967028195
BPIFB1,0.00427931999834807
BPNT1,0.002564877876974226
BPNT2,0.003045440493756596
BPTF,0.000246939705265758
BRAF,-0.0006363747339861861
BRAT1,0.0002095858107631624
BRD1,-0.0001679145706594519
BRD2,-0.001137607131067458
BRD4,-0.000199452306893582
BRDT,-8.191403911796478e-07
BRF1,-3.746552427843425e-05
BRICD5,-0.0002163742206067538
BRK1,-0.0003152129712618545
BRMS1L,-0.00094683086537534
BROX,0.0001675824679133882
BRPF1,-0.0008863406977220031
BRSK2,0.001372208036462438
BSG,0.001458952873363637
BST1,0.00191229617426542
BST2,-5.393844915273722e-05
BTC,0.001398367726277233
BTD,0.002117963237076752
BTG1,0.000643330757637848
BTG2,8.717811587446838e-05
BTG4,0.0008615618996746603
BTK,-0.001212476549648617
BTLA,0.0004393063460841431
BTN1A1,0.0002909138959920961
BTN2A1,0.0006710880475672714
BTN2A2,0.002069318485766224
BTN3A2,0.004945714073313331
BTN3A3,0.001687374844899532
BTNL3,-8.675483100675998e-05
BTNL8,-0.0001003974090298186
BTNL9,-0.0001113758320648398
BUB1,0.0001645931505214512
BUD31,-0.001073821893177256
BZW2,-0.0005945019649282254
C10orf105,-0.0001639567292373251
C11orf49,0.0001302354242723614
C11orf68,0.003105779414478007
C11orf87,0.0008734466251153129
C11orf94,-0.0001765143414445289
C12orf65,-0.0002860434770177391
C12orf76,-8.852261540137152e-05
C14orf93,0.002661562590959499
C15orf40,0.0001003673476461375
C16orf54,-0.0001928419961094777
C16orf71,2.806525193843682e-05
C16orf72,-6.39571099505677e-05
C17orf67,0.0001182970268208149
C17orf78,-0.0002356775776889782
C18orf32,-6.300774275309288e-05
C19orf18,4.685412684008417e-05
C19orf53,-0.0002459596072887607
C19orf54,-4.787078625000616e-05
C19orf84,-4.650110982815356e-05
C1D,-8.42682297051869e-05
C1GALT1C1,0.003044791513518919
C1GALT1|C1GALT1C1,0.0028297004640518
C1QA|C1QB|C1QC,0.001545009621714063
C1QBP,0.0008772094192743936
C1QC,0.0005665844201058791
C1QL1,0.002866582784013585
C1QL2,0.003204492662684035
C1QL3,0.003996830791488343
C1QL4,0.0001833546442649856
C1QTNF1,0.004836686943952142
C1QTNF3,-0.002259924059246212
C1QTNF4,0.002135667108915541
C1QTNF5,0.001516669375530208
C1QTNF9,-0.0002805990800085665
C1R,0.006277930923468225
C1RL,0.002916480282463478
C1S,0.002393956374311149
C1orf115,-5.830548618024493e-05
C1orf162,-7.479682996800713e-05
C1orf185,-5.23973372472781e-05
C1orf198,2.407822956256027e-05
C1orf210,-0.0001240414369173639
C1orf43,5.564270767434592e-05
C1orf50,-0.0006466406583142673
C2,0.001672346315603653
C20orf173,5.233363968843144e-05
C20orf202,0.000347239518646562
C22orf15,-5.804938154230718e-05
C22orf23,-0.0005988358052500065
C2CD2L,4.823075699228018e-06
C2orf66,-0.0001817470844016289
C2orf68,0.0006447013763027534
C2orf73,0.00168611743363095
C3,0.00888194799283655
C3orf18,3.9730688934847e-05
C4A|C4B,0.001932505118585117
C4BPA,0.006170060859054546
C4BPB,-0.0009193751043414063
C4orf36,0.0001719368445769568
C5,0.004216547044287893
C5orf38,0.00291804955694541
C5orf46,0.0004929619595731905
C5orf63,2.495133067222316e-05
C5|C6,0.002707540669949318
C6,0.002864184832372783
C6orf89,-7.115421623275698e-05
C7,0.002159475516260216
C7orf69,-3.337587180156252e-05
C8A|C8B|C8G,-0.0002647564204379844
C8G,0.002318932501058826
C9,0.003406318962534456
CA1,0.005819338265798877
CA10,0.001863693974840605
CA11,0.001122632552154568
CA12,-0.0003140933546541504
CA13,-0.0007549403535240726
CA2,-0.000124953926636663
CA3,0.006394331552444933
