"motif","tf","celltype","dz","p","padj"
"MA0715.1","PROP1","Astro",0.051746365540409,1,1
"MA0716.1","PRRX1","Astro",-0.174270720148964,0.888358700123406,1
"MA0717.1","RAX2","Astro",-0.174270720148964,0.888358700123406,1
"MA0718.1","RAX","Astro",-0.0914932961145696,0.888358700123406,1
"MA0719.1","RHOXF1","Astro",0.091975724790439,0.370382558617853,1
"MA0721.1","UNCX","Astro",-0.100287956176779,0.742986425339367,1
"MA0722.1","VAX1","Astro",-0.0570548305044674,0.672974084738791,1
"MA0723.1","VAX2","Astro",-0.0570548305044674,0.672974084738791,1
"MA0724.1","VENTX","Astro",-0.0431290172888273,0.672974084738791,1
"MA0725.1","VSX1","Astro",-0.0351553357742702,0.814808720691074,1
"MA0726.1","VSX2","Astro",-0.0351553357742702,0.814808720691074,1
"MA0112.3","ESR1","Astro",-0.0293963621965471,0.541423282599753,1
"MA0141.3","ESRRB","Astro",-0.131764765895741,0.370382558617853,1
"MA0017.2","NR2F1","Astro",0.0443962184977286,0.742986425339367,1
"MA0113.3","NR3C1","Astro",-0.328900137673517,0.370382558617853,1
"MA0727.1","NR3C2","Astro",-0.347374964608893,0.321266968325792,1
"MA0729.1","RARA","Astro",0.0217082769143493,0.962566844919786,1
"MA0730.1","RARA(var.2)","Astro",-0.0423414129600829,0.541423282599753,1
"MA0731.1","BCL6B","Astro",-0.011451463853168,0.888358700123406,1
"MA0472.2","EGR2","Astro",-0.0294400550287486,0.814808720691074,1
"MA0732.1","EGR3","Astro",-0.0612350544431615,0.541423282599753,1
"MA0733.1","EGR4","Astro",-0.0253217366659469,0.888358700123406,1
"MA0735.1","GLIS1","Astro",0.0823238487144065,0.814808720691074,1
"MA0736.1","GLIS2","Astro",0.0432547840745281,0.814808720691074,1
"MA0737.1","GLIS3","Astro",-0.0132873194964668,1,1
"MA0738.1","HIC2","Astro",-0.0439091298875639,0.672974084738791,1
"MA0740.1","KLF14","Astro",-0.0067308069687973,0.814808720691074,1
"MA0741.1","KLF16","Astro",-0.052969648074025,0.605841217605923,1
"MA0747.1","SP8","Astro",-0.0217173734340432,0.742986425339367,1
"MA0749.1","ZBED1","Astro",0.061823730664719,0.138790621143562,1
"MA0751.1","ZIC4","Astro",0.0454128919688933,0.742986425339367,1
"MA0088.2","ZNF143","Astro",-0.178470178107523,0.113944878650761,1
"MA0752.1","ZNF410","Astro",-0.0488856318611895,0.370382558617853,1
"MA0754.1","CUX1","Astro",-0.054073588455737,0.19958864664747,1
"MA0755.1","CUX2","Astro",-0.0231219185687702,0.605841217605923,1
"MA0756.1","ONECUT2","Astro",0.00646705450782165,0.742986425339367,1
"MA0757.1","ONECUT3","Astro",0.05027123972808,0.888358700123406,1
"MA0758.1","E2F7","Astro",0.0249853652307508,0.814808720691074,1
"MA0759.1","ELK3","Astro",-0.117590119303624,0.4234471410942,1
"MA0760.1","ERF","Astro",-0.144106518462048,0.16717400246812,1
"MA0474.2","ERG","Astro",-0.126736598485534,0.235870012340601,1
"MA0098.3","ETS1","Astro",-0.151983950865121,0.0927190456602221,1
"MA0762.1","ETV2","Astro",-0.163984055473528,0.0359522830111065,1
"MA0763.1","ETV3","Astro",-0.107934781802915,0.370382558617853,1
"MA0156.2","FEV","Astro",-0.0971787600373371,0.370382558617853,1
"MA0767.1","GCM2","Astro",0.0188444463481943,0.814808720691074,1
"MA0768.1","LEF1","Astro",-0.0378673118669927,0.4234471410942,1
"MA0770.1","HSF2","Astro",0.127517027820563,0.605841217605923,1
"MA0771.1","HSF4","Astro",0.130488650077767,0.605841217605923,1
"MA0772.1","IRF7","Astro",0.191036503328871,0.276593994241053,1
"MA0773.1","MEF2D","Astro",0.0603655127524315,0.541423282599753,1
"MA0498.2","MEIS1","Astro",-0.0119724903636054,0.814808720691074,1
"MA0774.1","MEIS2","Astro",-0.0361139234653184,0.541423282599753,1
"MA0775.1","MEIS3","Astro",-0.0400147200212935,0.605841217605923,1
"MA0776.1","MYBL1","Astro",0.0253436998898792,0.541423282599753,1
"MA0777.1","MYBL2","Astro",-0.0290569366086824,0.605841217605923,1
"MA0105.4","NFKB1","Astro",0.0369931416410176,0.742986425339367,1
"MA0778.1","NFKB2","Astro",0.0385163041523488,0.814808720691074,1
"MA0779.1","PAX1","Astro",0.0385864990365525,0.605841217605923,1
"MA0780.1","PAX3","Astro",-0.0785778802302757,0.321266968325792,1
"MA0781.1","PAX9","Astro",0.0430187503480192,0.541423282599753,1
"MA0783.1","PKNOX2","Astro",-0.0888230168459542,0.672974084738791,1
"MA0784.1","POU1F1","Astro",-0.0330839828116758,0.962566844919786,1
